l_fighter_id,r_fighter_id,w_fighter_id,l_FullName,r_FullName,w_FullName,l_fighter_height_cm,r_fighter_height_cm,weight_class,l_fighter_weight_lbs,r_fighter_weight_lbs,l_fighter_reach_cm,r_fighter_reach_cm,l_fighter_stance,r_fighter_stance,l_fighter_dob,r_fighter_dob,event_date,l_fighter_age,r_fighter_age,l_seniority,r_seniority,l_fighter_w,l_fighter_l,r_fighter_w,r_fighter_l,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,l_ctrl_time,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,r_ctrl_time,result,num_rounds,finish_round,finish_time,l_w/l_ratio,r_w/l_ratio,l_win,r_win,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_ctrl_time_sec,r_ctrl_time_sec,l_total_fights,r_total_fights,l_total_fights_dif,r_total_fights_dif,l_win_difference,r_win_difference,l_stance_pair,r_stance_pair
1434,26,26,Abubakar Nurmagomedov,David Zawada,David Zawada,180.34,182.88,Welterweight,170,170,182.88,190.5,Orthodox,Orthodox,1989-11-13 00:00:00,1990-08-01 00:00:00,2019-11-09,29,29,0,0,17,4,17,7,0,34,22,9,4,1,1,0,0,1:50,0,34,25,11,2,0,0,2,0,0:00,Submission,3,1,2:50,4.25,2.428571,0,1,-2.540009,2.540009,0,0,-7.619995,7.619995,110,0,21,24,-3,3,1.82142853736877,-1.82142853736877,Orthodox vs Orthodox,Orthodox vs Orthodox
1910,512,512,Abus Magomedov,Sean Strickland,Sean Strickland,187.96,185.42,Middleweight,185,185,198.12,193.04,Orthodox,Orthodox,1990-09-02 00:00:00,1991-02-27 00:00:00,2023-07-01,32,32,0,0,25,5,28,5,0,101,47,101,47,2,1,0,0,0:23,1,188,81,188,81,0,0,0,0,0:10,KO/TKO,5,2,4:20,5,5.6,0,1,2.540009,-2.540009,0,0,5.080002,-5.080002,23,10,30,33,-3,3,-0.599999904632568,0.599999904632568,Orthodox vs Orthodox,Orthodox vs Orthodox
1910,528,1910,Abus Magomedov,Dustin Stoltzfus,Abus Magomedov,187.96,182.88,Middleweight,185,185,198.12,190.5,Orthodox,Orthodox,1990-09-02 00:00:00,1991-11-15 00:00:00,2022-09-03,32,30,2,-2,25,5,14,5,1,7,7,7,7,0,0,0,0,0:02,0,2,0,2,0,0,0,0,0,0:00,KO/TKO,3,1,0:19,5,2.8,1,0,5.080002,-5.080002,0,0,7.619995,-7.619995,2,0,30,19,11,-11,2.20000004768372,-2.20000004768372,Orthodox vs Orthodox,Orthodox vs Orthodox
3501,354,354,Adam Cella,Tor Troeng,Tor Troeng,187.96,187.96,Middleweight,170,185,186,191,,Orthodox,1985-06-26 00:00:00,1983-01-25 00:00:00,2013-04-06,27,30,-3,3,6,8,16,7,0,14,4,12,2,0,0,0,0,0:00,0,23,16,11,6,1,1,1,0,2:21,Submission,3,1,3:11,0.75,2.285714,0,1,0,0,-15,15,-5,5,0,141,14,23,-9,9,-1.53571438789368,1.53571438789368," vs Orthodox","Orthodox vs "
2920,2212,2920,Adam Fugitt,Yusaku Kinoshita,Adam Fugitt,185.42,182.88,Welterweight,170,170,195.58,180.34,Southpaw,Southpaw,1989-01-12 00:00:00,2000-08-21 00:00:00,2023-02-04,34,22,12,-12,9,4,6,3,0,54,33,33,21,7,4,0,0,2:53,0,25,11,24,10,1,0,0,0,0:01,KO/TKO,3,1,4:36,2.25,2,1,0,2.539993,-2.539993,0,0,15.24001,-15.24001,173,1,13,9,4,-4,0.25,-0.25,Southpaw vs Southpaw,Southpaw vs Southpaw
2920,1611,1611,Adam Fugitt,Michael Morales,Michael Morales,185.42,182.88,Welterweight,170,170,195.58,200.66,Southpaw,Orthodox,1989-01-12 00:00:00,1999-06-24 00:00:00,2022-07-30,33,23,10,-10,9,4,15,0,0,120,70,113,64,8,1,0,0,1:51,2,157,89,151,83,1,0,0,0,0:12,KO/TKO,3,3,1:09,2.25,15,0,1,2.539993,-2.539993,0,0,-5.080002,5.080002,111,12,13,15,-2,2,-12.75,12.75,Southpaw vs Orthodox,Orthodox vs Southpaw
2920,1884,1884,Adam Fugitt,Mike Malott,Mike Malott,185.42,185.42,Welterweight,170,170,195.58,185.42,Southpaw,Orthodox,1989-01-12 00:00:00,1991-11-07 00:00:00,2023-06-10,34,31,3,-3,9,4,10,1,0,35,16,28,9,0,0,0,0,0:07,1,41,19,41,19,2,2,1,1,1:26,Submission,3,2,1:06,2.25,10,0,1,0,0,0,0,10.16,-10.16,7,86,13,11,2,-2,-7.75,7.75,Southpaw vs Orthodox,Orthodox vs Southpaw
1684,982,982,Adam Milstead,Mike Rodriguez,Mike Rodriguez,190.5,193.04,Light Heavyweight,205,205,193.04,208.28,Orthodox,Southpaw,1987-07-03 00:00:00,1988-11-28 00:00:00,2018-12-15,31,30,1,-1,8,4,11,7,0,34,22,21,10,0,0,0,0,0:00,2,53,44,42,35,0,0,0,0,1:52,KO/TKO,3,1,2:59,2,1.571429,0,1,-2.539993,2.539993,0,0,-15.24001,15.24001,0,112,12,18,-6,6,0.428571462631226,-0.428571462631226,Orthodox vs Southpaw,Southpaw vs Orthodox
3997,581,3997,Adlan Amagov,Chris Spang,Adlan Amagov,187.96,187.96,Welterweight,170,170,193.04,191,Orthodox,Orthodox,1986-10-30 00:00:00,1987-11-26 00:00:00,2013-04-06,26,25,1,-1,14,2,6,3,0,118,57,99,38,10,6,0,0,4:29,0,76,24,57,5,0,0,0,0,0:00,Decision,3,3,5:00,7,2,1,0,0,0,0,0,2.039993,-2.039993,269,0,16,9,7,-7,5,-5,Orthodox vs Orthodox,Orthodox vs Orthodox
3997,217,3997,Adlan Amagov,TJ Waldburger,Adlan Amagov,187.96,180.34,Welterweight,170,170,193.04,190.5,Orthodox,Orthodox,1986-10-30 00:00:00,1988-04-25 00:00:00,2013-10-19,26,25,1,-1,14,2,16,9,1,34,23,26,15,1,0,0,0,0:05,0,10,4,10,4,3,0,0,0,0:38,KO/TKO,3,1,3:00,7,1.777778,1,0,7.62001,-7.62001,0,0,2.539993,-2.539993,5,38,16,25,-9,9,5.22222220897675,-5.22222220897675,Orthodox vs Orthodox,Orthodox vs Orthodox
1828,833,833,Adriano Martins,Leonardo Santos,Leonardo Santos,177.8,182.88,Lightweight,155,155,182.88,190.5,Southpaw,Orthodox,1982-12-16 00:00:00,1980-02-05 00:00:00,2016-10-08,33,36,-3,3,28,9,18,7,0,84,34,83,34,0,0,0,0,0:00,0,70,23,70,23,1,0,0,0,0:00,Decision,3,3,5:00,3.111111,2.571429,0,1,-5.080002,5.080002,0,0,-7.619995,7.619995,0,0,37,25,12,-12,0.539682626724243,-0.539682626724243,Southpaw vs Orthodox,Orthodox vs Southpaw
3311,1862,1862,Aisling Daly,Randa Markos,Randa Markos,157.48,162.56,"Women's Strawweight",115,115,162.56,160.02,Orthodox,Orthodox,1987-12-24 00:00:00,1985-08-10 00:00:00,2015-04-25,27,29,-2,2,16,6,11,12,0,92,50,65,27,5,2,1,0,6:53,0,171,131,52,18,4,2,1,0,5:31,Decision,3,3,5:00,2.666667,0.9166667,0,1,-5.080002,5.080002,0,0,2.539993,-2.539993,413,331,22,23,-1,1,1.75000005960464,-1.75000005960464,Orthodox vs Orthodox,Orthodox vs Orthodox
3198,1507,3198,AJ Dobson,Tafon Nchukwi,AJ Dobson,185.42,182.88,Middleweight,185,185,193.04,195.58,Orthodox,Orthodox,1992-01-18 00:00:00,1994-10-14 00:00:00,2023-08-12,31,28,3,-3,7,2,6,4,0,176,98,134,67,3,2,0,0,4:33,0,106,59,99,53,0,0,0,0,0:00,Decision,3,3,5:00,3.5,1.5,1,0,2.539993,-2.539993,0,0,-2.540009,2.540009,273,0,9,10,-1,1,2,-2,Orthodox vs Orthodox,Orthodox vs Orthodox
3198,1229,1229,AJ Dobson,Armen Petrosyan,Armen Petrosyan,185.42,190.5,Middleweight,185,185,193.04,180.34,Orthodox,Orthodox,1992-01-18 00:00:00,1990-11-02 00:00:00,2022-10-22,30,31,-1,1,7,2,9,2,0,168,64,161,58,3,3,0,0,0:49,0,246,118,246,118,1,0,0,0,0:00,Decision,3,3,5:00,3.5,4.5,0,1,-5.080002,5.080002,0,0,12.7,-12.7,49,0,9,11,-2,2,-1,1,Orthodox vs Orthodox,Orthodox vs Orthodox
3198,1885,1885,AJ Dobson,Jacob Malkoun,Jacob Malkoun,185.42,175.26,Middleweight,185,185,193.04,185.42,Orthodox,Orthodox,1992-01-18 00:00:00,1995-08-26 00:00:00,2022-02-12,30,26,4,-4,7,2,7,3,0,110,68,90,52,0,0,0,0,0:27,0,255,183,128,80,16,6,0,0,9:17,Decision,3,3,5:00,3.5,2.333333,0,1,10.16,-10.16,0,0,7.619995,-7.619995,27,557,9,10,-1,1,1.16666674613953,-1.16666674613953,Orthodox vs Orthodox,Orthodox vs Orthodox
2974,2768,2974,AJ Fletcher,Themba Gorimbo,AJ Fletcher,177.8,185.42,Welterweight,170,170,170.18,195.58,Switch,Orthodox,1997-02-18 00:00:00,1991-01-23 00:00:00,2023-02-18,26,32,-6,6,10,3,11,4,0,35,23,17,7,0,0,1,1,3:21,0,26,15,10,6,2,2,0,1,2:00,Submission,3,2,1:37,3.333333,2.75,1,0,-7.619995,7.619995,0,0,-25.40001,25.40001,201,120,13,15,-2,2,0.583333253860474,-0.583333253860474,Switch vs Orthodox,Orthodox vs Switch
2974,1986,1986,AJ Fletcher,Ange Loosa,Ange Loosa,177.8,177.8,Welterweight,170,170,170.18,187.96,Switch,Orthodox,1997-02-18 00:00:00,1993-03-18 00:00:00,2022-08-20,25,29,-4,4,10,3,10,3,0,201,103,181,87,4,0,0,0,0:36,0,354,241,233,129,4,2,0,0,5:26,Decision,3,3,5:00,3.333333,3.333333,0,1,0,0,0,0,-17.78001,17.78001,36,326,13,13,0,0,0,0,Switch vs Orthodox,Orthodox vs Switch
2974,760,760,AJ Fletcher,Matthew Semelsberger,Matthew Semelsberger,177.8,185.42,Welterweight,170,170,170.18,190.5,Switch,Switch,1997-02-18 00:00:00,1992-11-23 00:00:00,2022-03-12,25,29,-4,4,10,3,11,6,0,124,87,64,34,6,4,2,2,5:42,0,97,54,82,40,1,1,0,0,4:55,Decision,3,3,5:00,3.333333,1.833333,0,1,-7.619995,7.619995,0,0,-20.32001,20.32001,342,295,13,17,-4,4,1.49999988079071,-1.49999988079071,Switch vs Switch,Switch vs Switch
3935,3119,3935,Akbarh Arreola,Yves Edwards,Akbarh Arreola,177.8,175.26,Lightweight,155,155,180.34,185.42,Southpaw,Southpaw,1983-01-14 00:00:00,1976-09-30 00:00:00,2014-11-22,31,38,-7,7,23,11,42,22,1,26,12,26,12,1,1,1,0,0:45,0,14,5,14,5,0,0,0,0,0:00,Submission,3,1,1:52,2.090909,1.909091,1,0,2.540009,-2.540009,0,0,-5.080002,5.080002,45,0,34,64,-30,30,0.181818127632141,-0.181818127632141,Southpaw vs Southpaw,Southpaw vs Southpaw
3935,358,358,Akbarh Arreola,Francisco Trinaldo,Francisco Trinaldo,177.8,175.26,Lightweight,155,170,180.34,177.8,Southpaw,Southpaw,1983-01-14 00:00:00,1978-08-24 00:00:00,2015-03-21,32,36,-4,4,23,11,28,9,0,127,82,74,34,0,0,0,0,0:00,0,169,91,115,39,3,3,0,0,9:17,Decision,3,3,5:00,2.090909,3.111111,0,1,2.540009,-2.540009,-15,15,2.539993,-2.539993,0,557,34,37,-3,3,-1.02020215988159,1.02020215988159,Southpaw vs Southpaw,Southpaw vs Southpaw
3935,1810,1810,Akbarh Arreola,Jake Matthews,Jake Matthews,177.8,180.34,Lightweight,155,170,180.34,185.42,Southpaw,Orthodox,1983-01-14 00:00:00,1994-08-19 00:00:00,2015-11-14,32,21,11,-11,23,11,19,6,1,55,33,41,21,0,0,0,0,1:59,0,136,96,98,62,3,1,0,0,5:39,"TKO - Doctor's Stoppage",3,2,5:00,2.090909,3.166667,0,1,-2.539993,2.539993,-15,15,-5.080002,5.080002,119,339,34,25,9,-9,-1.0757577419281,1.0757577419281,Southpaw vs Orthodox,Orthodox vs Southpaw
2793,1786,2793,Akihiro Gono,Tamdan McCrory,Akihiro Gono,170.18,193.04,Welterweight,170,185,172.72,193.04,Switch,Switch,1974-10-07 00:00:00,1986-11-05 00:00:00,2007-11-17,33,21,12,-12,35,21,14,5,1,56,39,44,27,1,1,1,0,2:36,0,63,32,62,31,0,0,0,0,1:07,Submission,3,2,3:19,1.666667,2.8,1,0,-22.86,22.86,-15,15,-20.31999,20.31999,156,67,56,19,37,-37,-1.13333332538605,1.13333332538605,Switch vs Switch,Switch vs Switch
2793,2645,2645,Akihiro Gono,Dan Hardy,Dan Hardy,170.18,182.88,Welterweight,170,170,172.72,187.96,Switch,Orthodox,1974-10-07 00:00:00,1982-05-17 00:00:00,2008-10-18,34,26,8,-8,35,21,25,10,0,109,58,107,56,4,3,0,0,1:06,0,190,61,186,57,0,0,0,0,0:02,Decision,3,3,5:00,1.666667,2.5,0,1,-12.70001,12.70001,0,0,-15.24001,15.24001,66,2,56,35,21,-21,-0.833333373069763,0.833333373069763,Switch vs Orthodox,Orthodox vs Switch
3398,1189,1189,Akira Corassani,Dustin Poirier,Dustin Poirier,172.72,175.26,Featherweight,145,155,172.72,182.88,Orthodox,Southpaw,1982-08-27 00:00:00,1989-01-19 00:00:00,2014-04-16,31,25,6,-6,12,6,29,8,0,66,24,66,24,1,0,0,0,0:12,1,90,46,89,45,1,0,1,0,0:44,KO/TKO,3,2,0:42,2,3.625,0,1,-2.539993,2.539993,-10,10,-10.16,10.16,12,44,18,37,-19,19,-1.625,1.625,Orthodox vs Southpaw,Southpaw vs Orthodox
3398,1414,3398,Akira Corassani,Andy Ogle,Akira Corassani,172.72,172.72,Featherweight,145,145,172.72,175.26,Orthodox,Orthodox,1982-08-27 00:00:00,1989-02-16 00:00:00,2012-09-29,30,23,7,-7,12,6,9,6,0,99,51,93,45,0,0,0,0,0:02,1,156,102,105,52,11,1,0,0,5:48,Decision,3,3,5:00,2,1.5,1,0,0,0,0,0,-2.539993,2.539993,2,348,18,15,3,-3,0.5,-0.5,Orthodox vs Orthodox,Orthodox vs Orthodox
3398,1259,3398,Akira Corassani,Robert Peralta,Akira Corassani,172.72,172.72,Featherweight,145,145,172.72,180.34,Orthodox,Orthodox,1982-08-27 00:00:00,1986-03-14 00:00:00,2013-04-06,30,27,3,-3,12,6,18,8,0,96,57,86,48,6,2,0,0,4:30,0,172,94,144,67,2,0,0,0,2:11,Decision,3,3,5:00,2,2.25,1,0,0,0,0,0,-7.619995,7.619995,270,131,18,26,-8,8,-0.25,0.25,Orthodox vs Orthodox,Orthodox vs Orthodox
3398,710,710,Akira Corassani,Sam Sicilia,Sam Sicilia,172.72,172.72,Featherweight,145,145,172.72,170.18,Orthodox,Orthodox,1982-08-27 00:00:00,1986-02-01 00:00:00,2015-01-24,32,28,4,-4,12,6,15,8,0,32,11,31,10,0,0,0,0,0:02,1,28,12,26,10,0,0,0,0,0:24,KO/TKO,3,1,3:26,2,1.875,0,1,0,0,0,0,2.540009,-2.540009,2,24,18,23,-5,5,0.125,-0.125,Orthodox vs Orthodox,Orthodox vs Orthodox
3398,2532,2532,Akira Corassani,Max Holloway,Max Holloway,172.72,180.34,Featherweight,145,145,172.72,175.26,Orthodox,Orthodox,1982-08-27 00:00:00,1991-12-04 00:00:00,2014-10-04,32,22,10,-10,12,6,25,7,0,29,11,29,11,0,0,0,0,0:10,1,62,38,51,31,0,0,0,0,0:11,KO/TKO,3,1,3:11,2,3.571429,0,1,-7.619995,7.619995,0,0,-2.539993,2.539993,10,11,18,32,-14,14,-1.57142853736877,1.57142853736877,Orthodox vs Orthodox,Orthodox vs Orthodox
2467,2102,2467,Al Iaquinta,Joe Lauzon,Al Iaquinta,177.8,177.8,Lightweight,155,155,177.8,180.34,Orthodox,Orthodox,1987-04-30 00:00:00,1984-05-22 00:00:00,2015-01-31,27,30,-3,3,14,7,28,16,1,158,63,154,59,3,1,0,0,0:22,0,86,32,86,32,1,0,0,0,0:07,KO/TKO,3,2,3:34,2,1.75,1,0,0,0,0,0,-2.539993,2.539993,22,7,21,44,-23,23,0.25,-0.25,Orthodox vs Orthodox,Orthodox vs Orthodox
2467,1284,2467,Al Iaquinta,Ross Pearson,Al Iaquinta,177.8,172.72,Lightweight,155,155,177.8,175.26,Orthodox,Orthodox,1987-04-30 00:00:00,1984-09-26 00:00:00,2014-11-07,27,30,-3,3,14,7,20,16,2,94,32,93,31,1,0,0,0,0:03,0,61,21,60,20,1,0,0,0,0:00,KO/TKO,3,2,1:39,2,1.25,1,0,5.080002,-5.080002,0,0,2.540009,-2.540009,3,0,21,36,-15,15,0.75,-0.75,Orthodox vs Orthodox,Orthodox vs Orthodox
2467,1819,2467,Al Iaquinta,Jorge Masvidal,Al Iaquinta,177.8,180.34,Lightweight,155,170,177.8,187.96,Orthodox,Orthodox,1987-04-30 00:00:00,1984-11-12 00:00:00,2015-04-04,27,30,-3,3,14,7,35,17,0,153,55,153,55,9,0,0,0,0:07,0,173,86,170,83,0,0,0,0,0:25,Decision,3,3,5:00,2,2.058824,1,0,-2.539993,2.539993,-15,15,-10.16,10.16,7,25,21,52,-31,31,-5.88235855102539e-02,5.88235855102539e-02,Orthodox vs Orthodox,Orthodox vs Orthodox
